time,temp_CA_dmean,temp_CA_dmax,precip_CA_dsum,wind_CA_dmean,wind_CA_dmax,gust_CA_dmean,gust_CA_dmax,humid_CA_dmean,humid_CA_dmax,humid_CA_dmin
10/05/2000,16.263346,22.131256,-2.01E-05,1.7277352,3.6709754,8.543121,13.734843,0.000526428,0.000526428,0.000526428
11/05/2000,11.808015,17.435852,0.003352761,1.8797313,3.418656,8.9148035,13.168194,0.000526428,0.000526428,0.000526428
12/05/2000,13.657249,22.102692,-2.01E-05,1.940392,3.0160434,6.93779,10.352373,0.000526428,0.000526428,0.000526428
13/05/2000,16.124903,23.926758,-2.01E-05,1.7763124,3.6331675,5.9569745,11.523005,0.000526428,0.000526428,0.000526428
14/05/2000,16.273579,22.86621,-2.01E-05,1.6255547,3.3963237,7.0758915,11.249222,0.000526428,0.000526428,0.000526428
15/05/2000,14.72907,19.416046,-2.01E-05,1.6232418,3.7604196,7.9950013,13.997841,0.000526428,0.000526428,0.000526428
16/05/2000,10.143632,16.687561,2.1324368,3.2762492,4.6306586,12.928323,16.812832,0.000526428,0.000526428,0.000526428
17/05/2000,11.104702,19.347504,0.041979924,1.7522577,4.2546067,7.470665,14.064213,0.000526428,0.000526428,0.000526428
18/05/2000,15.877217,25.973633,-2.01E-05,1.7319354,3.3308501,6.5649667,11.405195,0.000526428,0.000526428,0.000526428
19/05/2000,19.16766,28.03952,-2.01E-05,1.6286994,3.316357,5.8046308,11.543746,0.000526428,0.000526428,0.000526428
20/05/2000,21.028955,30.882294,-2.01E-05,1.3582767,3.1382709,5.7846503,11.040979,0.000526428,0.000526428,0.000526428
21/05/2000,22.752523,32.55594,0.07048929,1.5950176,2.7972176,5.98539,10.779642,0.000526428,0.000526428,0.000526428
22/05/2000,23.614027,31.025085,0.03830027,1.967672,3.5491483,6.259554,11.538768,0.000526428,0.000526428,0.000526428
23/05/2000,23.108816,27.891022,-2.01E-05,1.4354091,2.9150686,5.6718183,10.140814,0.000526428,0.000526428,0.000526428
24/05/2000,19.896439,25.07492,0.02818415,1.4736986,3.2556648,5.933399,9.595736,0.000526428,0.000526428,0.000526428
25/05/2000,15.054349,19.282776,-2.01E-05,1.8323169,3.3686137,7.0368633,10.862606,0.000526428,0.000526428,0.000526428
26/05/2000,16.539274,27.422607,0.001513772,1.4610897,3.0524297,6.6576457,9.998114,0.000526428,0.000526428,0.000526428
27/05/2000,22.234144,32.468353,-2.01E-05,1.7611665,3.4875023,6.2009254,10.450272,0.000526428,0.000526428,0.000526428
28/05/2000,24.391912,31.62677,-2.01E-05,1.8219471,3.8334143,5.996348,11.76858,0.000526428,0.000526428,0.000526428
29/05/2000,22.146553,30.034973,-2.01E-05,1.5999428,3.4144368,6.8533387,11.191147,0.000526428,0.000526428,0.000526428
30/05/2000,20.326838,27.190308,-2.01E-05,1.5305481,3.2940369,7.341413,11.243414,0.000526428,0.000526428,0.000526428
31/05/2000,18.571215,26.175446,-2.01E-05,1.5236759,3.3505852,7.1084895,10.834398,0.000526428,0.000526428,0.000526428
1/06/2000,19.780058,27.884125,0,1.5523952,3.55019,5.7373023,10.64813,0.00177002,0.00177002,0.00177002
2/06/2000,21.34282,29.228302,0,1.7364208,3.73396,6.2513967,11.247221,0.00177002,0.00177002,0.00177002
3/06/2000,20.40176,28.994781,0,1.6766328,3.4204307,5.9707284,10.543701,0.00177002,0.00177002,0.00177002
